FSA,BEV,PHEV,TotalEV
K0A,752,336,1088
K0B,73,58,131
K0C,163,106,269
K0E,113,69,182
K0G,223,103,326
K0H,196,125,321
K0J,75,66,141
K0K,380,232,612
K0L,230,121,351
K0M,153,62,215
K1A,24,60,84
K1B,85,45,130
K1C,182,141,323
K1E,61,30,91
K1G,144,112,256
K1H,120,86,206
K1J,162,119,281
K1K,149,107,256
K1L,46,50,96
K1M,77,56,133
K1N,88,70,158
K1P,23,16,39
K1R,78,43,121
K1S,283,218,501
K1T,221,110,331
K1V,267,201,468
K1W,114,57,171
K1X,52,10,62
K1Y,210,104,314
K1Z,132,78,210
K2A,192,88,280
K2B,109,80,189
K2C,135,86,221
K2E,118,59,177
K2G,270,142,412
K2H,148,95,243
K2J,549,266,815
K2K,216,113,329
K2L,78,64,142
K2M,218,103,321
K2P,86,38,124
K2R,21,9,30
K2S,332,164,496
K2T,128,52,180
K2V,123,50,173
K2W,110,34,144
K3M,,1,1
K4A,371,193,564
K4B,45,26,71
K4C,66,23,89
K4K,131,64,195
K4M,247,78,325
K4P,138,50,188
K4R,51,31,82
K5M,1,,1
K6A,46,25,71
K6G,,1,1
K6H,75,47,122
K6J,30,23,53
K6K,11,4,15
K6T,2,1,3
K6V,65,58,123
K7A,38,23,61
K7C,110,46,156
K7G,29,15,44
K7H,71,57,128
K7K,120,65,185
K7L,165,101,266
K7M,184,114,298
K7N,26,15,41
K7P,135,60,195
K7R,44,21,65
K7S,58,18,76
K7V,32,15,47
K8A,43,34,77
K8B,,1,1
K8H,46,27,73
K8J,1,,1
K8K,,1,1
K8N,91,60,151
K8P,37,35,72
K8R,10,5,15
K8V,78,55,133
K9A,128,76,204
K9H,75,56,131
K9J,142,86,228
K9K,66,30,96
K9L,31,19,50
K9V,58,28,86
L0A,102,37,139
L0B,85,42,127
L0C,62,17,79
L0E,83,42,125
L0G,390,101,491
L0H,7,7,14
L0J,93,21,114
L0K,187,75,262
L0L,329,112,441
L0M,180,60,240
L0N,16,10,26
L0P,129,32,161
L0R,571,252,823
L0S,420,215,635
L0T,1,,1
L1A,75,37,112
L1B,71,27,98
L1C,264,103,367
L1E,125,60,185
L1G,126,66,192
L1H,116,50,166
L1J,182,66,248
L1K,258,81,339
L1L,129,37,166
L1M,184,65,249
L1N,278,136,414
L1P,261,70,331
L1R,285,77,362
L1S,301,108,409
L1T,370,112,482
L1V,388,115,503
L1W,137,44,181
L1X,238,58,296
L1Y,36,12,48
L1Z,299,104,403
L2A,65,28,93
L2E,49,29,78
L2G,118,50,168
L2H,148,66,214
L2J,57,28,85
L2M,64,43,107
L2N,143,70,213
L2P,51,23,74
L2R,132,139,271
L2S,72,43,115
L2T,41,26,67
L2V,92,31,123
L2W,11,4,15
L2Y,,1,1
L3A,1,,1
L3B,84,29,113
L3C,99,56,155
L3E,1,,1
L3J,69,38,107
L3K,52,31,83
L3L,12,,12
L3M,271,129,400
L3N,1,,1
L3P,381,122,503
L3R,879,258,1137
L3S,370,92,462
L3T,537,157,694
L3V,156,99,255
L3X,532,134,666
L3Y,314,159,473
L3Z,377,91,468
L4A,699,195,894
L4B,765,175,940
L4C,806,207,1013
L4E,867,194,1061
L4G,897,239,1136
L4H,964,193,1157
L4J,756,220,976
L4K,426,100,526
L4L,467,105,572
L4M,225,85,310
L4N,561,171,732
L4P,192,57,249
L4R,60,28,88
L4S,572,155,727
L4T,122,36,158
L4V,41,14,55
L4W,371,128,499
L4X,69,17,86
L4Y,134,49,183
L4Z,237,102,339
L5A,133,42,175
L5B,317,127,444
L5C,207,68,275
L5E,89,33,122
L5G,240,94,334
L5H,312,88,400
L5J,211,83,294
L5K,104,35,139
L5L,334,131,465
L5M,961,281,1242
L5N,567,210,777
L5P,3,8,11
L5R,329,96,425
L5S,53,12,65
L5T,88,23,111
L5V,384,89,473
L5W,264,56,320
L5X,1,,1
L6A,1012,193,1205
L6B,526,107,633
L6C,1135,236,1371
L6E,465,104,569
L6G,84,23,107
L6H,1113,367,1480
L6J,560,194,754
L6K,239,129,368
L6L,550,163,713
L6M,1107,297,1404
L6N,1,,1
L6P,969,162,1131
L6R,564,151,715
L6S,234,106,340
L6T,185,105,290
L6V,151,57,208
L6W,126,46,172
L6X,613,133,746
L6Y,792,185,977
L6Z,167,69,236
L7A,722,211,933
L7B,404,74,478
L7C,562,131,693
L7E,321,98,419
L7G,415,173,588
L7H,2,,2
L7J,106,40,146
L7K,105,25,130
L7L,476,227,703
L7M,528,193,721
L7N,153,64,217
L7P,278,111,389
L7R,170,94,264
L7S,77,47,124
L7T,156,82,238
L8B,266,95,361
L8E,272,110,382
L8G,100,39,139
L8H,62,31,93
L8J,197,68,265
L8K,82,62,144
L8L,77,40,117
L8M,36,40,76
L8N,52,25,77
L8P,108,73,181
L8R,26,18,44
L8S,53,36,89
L8T,50,36,86
L8V,32,30,62
L8W,104,42,146
L9A,88,41,129
L9B,128,75,203
L9C,174,104,278
L9E,311,41,352
L9G,279,120,399
L9H,299,179,478
L9J,41,6,47
L9K,198,66,264
L9L,92,29,121
L9M,47,34,81
L9N,328,73,401
L9P,132,70,202
L9R,161,51,212
L9S,272,74,346
L9T,1060,292,1352
L9V,99,46,145
L9W,326,123,449
L9X,133,44,177
L9Y,209,87,296
L9Z,101,45,146
M1B,261,132,393
M1C,296,93,389
M1E,173,76,249
M1G,70,33,103
M1H,95,34,129
M1J,68,25,93
M1K,95,27,122
M1L,107,41,148
M1M,121,54,175
M1N,121,68,189
M1P,146,44,190
M1R,106,42,148
M1S,170,65,235
M1T,114,45,159
M1V,207,58,265
M1W,151,54,205
M1X,105,26,131
M2B,1,,1
M2H,150,51,201
M2J,390,126,516
M2K,237,69,306
M2L,205,61,266
M2M,233,74,307
M2N,617,232,849
M2P,164,26,190
M2R,132,74,206
M3A,337,55,392
M3B,282,75,357
M3C,166,44,210
M3H,237,83,320
M3J,121,35,156
M3K,53,10,63
M3L,43,11,54
M3M,29,16,45
M3N,54,15,69
M3R,,1,1
M3Y,1,,1
M4A,39,18,57
M4B,91,33,124
M4C,149,88,237
M4E,184,101,285
M4G,294,98,392
M4H,21,12,33
M4J,161,77,238
M4K,168,81,249
M4L,209,108,317
M4M,207,87,294
M4N,288,99,387
M4P,137,50,187
M4R,141,72,213
M4S,242,50,292
M4T,123,47,170
M4V,221,72,293
M4W,234,82,316
M4X,40,8,48
M4Y,125,35,160
M5A,262,79,341
M5B,47,16,63
M5C,55,12,67
M5E,83,21,104
M5G,58,47,105
M5H,158,19,177
M5J,118,41,159
M5K,5,2,7
M5L,3,,3
M5M,371,134,505
M5N,164,66,230
M5P,250,87,337
M5R,239,79,318
M5S,73,30,103
M5T,66,24,90
M5V,473,81,554
M5W,2,,2
M5X,5,2,7
M6A,77,32,109
M6B,136,50,186
M6C,193,62,255
M6E,103,38,141
M6G,147,77,224
M6H,127,62,189
M6J,184,61,245
M6K,175,55,230
M6L,48,17,65
M6M,66,35,101
M6N,90,52,142
M6P,161,95,256
M6R,126,76,202
M6S,296,145,441
M6Y,1,,1
M6Z,1,,1
M7A,5,,5
M8A,1,1,2
M8B,3,,3
M8V,290,94,384
M8W,163,45,208
M8X,172,59,231
M8Y,194,66,260
M8Z,309,133,442
M9A,310,130,440
M9B,276,86,362
M9C,175,78,253
M9L,60,16,76
M9M,49,12,61
M9N,72,29,101
M9P,81,20,101
M9R,87,25,112
M9V,140,50,190
M9W,1238,70,1308
N0A,112,58,170
N0B,769,335,1104
N0C,72,32,104
N0E,106,68,174
N0G,232,129,361
N0H,286,164,450
N0J,118,63,181
N0K,47,37,84
N0L,242,122,364
N0M,241,131,372
N0N,93,72,165
N0P,114,65,179
N0R,217,167,384
N1A,28,11,39
N1C,23,25,48
N1E,231,111,342
N1G,211,89,300
N1H,235,99,334
N1K,60,23,83
N1L,190,68,258
N1M,76,51,127
N1P,37,16,53
N1R,161,51,212
N1S,119,57,176
N1T,126,40,166
N2A,197,79,276
N2B,94,40,134
N2C,67,30,97
N2E,135,65,200
N2G,92,41,133
N2H,130,70,200
N2J,158,51,209
N2K,298,107,405
N2L,238,91,329
N2M,147,64,211
N2N,100,74,174
N2P,238,93,331
N2R,177,53,230
N2S,1,,1
N2T,185,90,275
N2V,201,85,286
N2Z,76,40,116
N3A,145,75,220
N3B,61,31,92
N3C,207,79,286
N3E,33,6,39
N3G,1,,1
N3H,119,37,156
N3K,1,,1
N3L,115,63,178
N3M,1,,1
N3P,19,19,38
N3R,111,56,167
N3S,79,35,114
N3T,219,101,320
N3V,15,2,17
N3W,86,34,120
N3Y,63,30,93
N4B,13,8,21
N4G,85,41,126
N4K,110,68,178
N4L,27,22,49
N4N,32,17,49
N4S,111,57,168
N4T,87,37,124
N4V,19,7,26
N4W,59,25,84
N4X,37,31,68
N4Z,13,12,25
N5A,136,80,216
N5C,60,23,83
N5H,32,19,51
N5L,18,9,27
N5N,2,,2
N5P,52,37,89
N5R,73,52,125
N5V,51,42,93
N5W,51,27,78
N5X,182,96,278
N5Y,46,36,82
N5Z,33,34,67
N6A,63,39,102
N6B,22,26,48
N6C,101,72,173
N6E,26,50,76
N6G,246,150,396
N6H,152,87,239
N6J,57,41,98
N6K,203,123,326
N6L,36,15,51
N6M,33,17,50
N6N,9,1,10
N6P,75,54,129
N7A,52,31,83
N7G,58,29,87
N7L,49,32,81
N7M,68,39,107
N7S,58,40,98
N7T,37,23,60
N7V,29,13,42
N7W,11,9,20
N7X,12,6,18
N8A,15,11,26
N8H,43,44,87
N8M,30,33,63
N8N,107,72,179
N8P,55,35,90
N8R,24,33,57
N8S,40,35,75
N8T,20,17,37
N8W,50,38,88
N8X,39,20,59
N8Y,33,24,57
N9A,32,61,93
N9B,33,18,51
N9C,8,13,21
N9E,48,45,93
N9G,72,48,120
N9H,80,52,132
N9J,102,57,159
N9K,18,8,26
N9T,1,,1
N9V,75,46,121
N9Y,71,37,108
P0A,45,22,67
P0B,56,20,76
P0C,28,10,38
P0E,13,9,22
P0G,7,10,17
P0H,56,58,114
P0J,31,22,53
P0K,5,4,9
P0L,14,21,35
P0M,81,73,154
P0N,2,5,7
P0P,20,26,46
P0R,9,7,16
P0S,13,4,17
P0T,28,34,62
P0V,6,7,13
P0W,3,,3
P0X,11,8,19
P1A,18,16,34
P1B,54,56,110
P1C,20,9,29
P1H,66,34,100
P1L,70,41,111
P1P,33,19,52
P2A,48,15,63
P2B,13,12,25
P2N,2,2,4
P3A,41,40,81
P3B,34,28,62
P3C,11,16,27
P3E,126,77,203
P3G,35,23,58
P3L,9,11,20
P3N,13,16,29
P3P,46,90,136
P3S,1,,1
P3Y,16,15,31
P4N,15,17,32
P4P,2,6,8
P4R,8,8,16
P5A,4,5,9
P5E,2,3,5
P5N,11,10,21
P6A,45,35,80
P6B,39,19,58
P6C,10,10,20
P7A,35,40,75
P7B,36,42,78
P7C,23,21,44
P7E,11,21,32
P7G,30,31,61
P7J,10,12,22
P7K,7,10,17
P7L,3,2,5
P8N,7,11,18
P8T,4,5,9
P9A,4,9,13
P9N,19,16,35
L5Z,1,,1
L3H,1,,1
L0X,1,,1
L5Y,1,,1
M9Y,1,,1
